,age,education,wantsMore,y,age_string_encoded,education_string_encoded,wantsMore_string_encoded,age_one_hot,education_one_hot,wantsMore_one_hot
0,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
1,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
2,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
3,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
4,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
5,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
6,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
7,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
8,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
9,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
10,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
11,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
12,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
13,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
14,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
15,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
16,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
17,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
18,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
19,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
20,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
21,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
22,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
23,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
24,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
25,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
26,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
27,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
28,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
29,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
30,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
31,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
32,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
33,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
34,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
35,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
36,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
37,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
38,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
39,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
40,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
41,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
42,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
43,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
